StdOrder,RunOrder,PtType,Blocks,Temp,Cycle,Response,Watt,Time
1.0,1.0,1.0,1.0,175.0,170.0,81.5,36.22,5.92748418927
3.0,2.0,1.0,1.0,175.0,190.0,83.0,30.114445149733843,5.296903589015012
2.0,3.0,1.0,1.0,185.0,170.0,82.5,21.590666028881166,1.06025045553
4.0,4.0,1.0,1.0,185.0,190.0,84.5,14.22118221418156,9.845192972316486
9.0,5.0,0.0,1.0,180.0,180.0,84.9,25.164359208546173,5.5142809779
10.0,6.0,0.0,1.0,180.0,180.0,84.7,25.78,3.035606040117
11.0,7.0,0.0,1.0,180.0,180.0,85.3,25.55,8.294727549754
12.0,8.0,0.0,1.0,180.0,180.0,84.8,25.535789875712755,5.5
13.0,9.0,0.0,1.0,180.0,180.0,85.0,25.287690189351846,6.74427959715
5.0,10.0,-1.0,1.0,172.92893218813452,180.0,82.3,36.25683157729576,4.706373120918
7.0,11.0,-1.0,1.0,180.0,165.85786437626905,81.6,30.94417386080919,5.56149731582
8.0,12.0,-1.0,1.0,180.0,194.14213562373095,83.4,20.62,7.92805229153
6.0,13.0,-1.0,1.0,187.07106781186548,180.0,84.5,14.115406877540249,5.793985407481553
