Response,Gr,Materials,Op.team,Time,Measure.ID,Machine.ID,Model.C
16.6434322144585,1,SC,1.0,M,1.0,1.0,MRE1
16.455776973571123,1,SC,1.0,M,2.0,1.0,MRE1
16.435057655372546,1,SC,1.0,M,3.0,1.0,MRE1
15.840913988109193,1,SC,1.0,M,4.0,1.0,MRE1
15.975937171498053,1,SC,1.0,M,5.0,1.0,MRE1
16.159835995784405,2,SC,2.0,A,1.0,2.0,MRE1
16.09923314112202,2,SC,2.0,A,2.0,2.0,MRE1
16.407619165029036,2,SC,2.0,A,3.0,2.0,MRE1
16.53052412823532,2,SC,2.0,A,4.0,2.0,MRE1
16.65000679892881,2,SC,2.0,A,5.0,2.0,MRE1
16.518392508655158,3,SC,3.0,E,1.0,3.0,MRE1
16.675061099043678,3,SC,3.0,E,2.0,3.0,MRE1
16.162558459061575,3,SC,3.0,E,3.0,3.0,MRE1
16.11940542466243,3,SC,3.0,E,4.0,3.0,MRE1
16.213746460877285,3,SC,3.0,E,5.0,3.0,MRE1
16.19125240482807,4,TM,4.0,M,1.0,4.0,MRE1
16.18314902073257,4,TM,4.0,M,2.0,4.0,MRE1
16.18592006481917,4,TM,4.0,M,3.0,4.0,MRE1
16.25316208548824,4,TM,4.0,M,4.0,4.0,MRE1
15.848387462018117,4,TM,4.0,M,5.0,4.0,MRE1
16.436458726293715,5,TM,5.0,A,1.0,1.0,MRE1
16.408398400839033,5,TM,5.0,A,2.0,1.0,MRE1
16.02016784726481,5,TM,5.0,A,3.0,1.0,MRE1
15.998809921099552,5,TM,5.0,A,4.0,1.0,MRE1
16.192390903132903,5,TM,5.0,A,5.0,1.0,MRE1
16.095087680897223,6,TM,1.0,E,1.0,2.0,MRE1
16.161060507259254,6,TM,1.0,E,2.0,2.0,MRE1
16.58177004908709,6,TM,1.0,E,3.0,2.0,MRE1
16.252890132472924,6,TM,1.0,E,4.0,2.0,MRE1
16.528137240789896,6,TM,1.0,E,5.0,2.0,MRE1
16.293945902048808,7,KR,2.0,M,1.0,3.0,MRE1
16.106028847359063,7,KR,2.0,M,2.0,3.0,MRE1
15.87110501102113,7,KR,2.0,M,3.0,3.0,MRE1
16.23869460177831,7,KR,2.0,M,4.0,3.0,MRE1
16.21037236287229,7,KR,2.0,M,5.0,3.0,MRE1
16.538603785697013,8,KR,3.0,A,1.0,4.0,MRE1
16.432526874031694,8,KR,3.0,A,2.0,4.0,MRE1
16.09976583647214,8,KR,3.0,A,3.0,4.0,MRE1
16.13309607497379,8,KR,3.0,A,4.0,4.0,MRE1
16.133866547522516,8,KR,3.0,A,5.0,4.0,MRE1
16.46845647362097,9,KR,4.0,E,1.0,1.0,MRE1
16.566534902069492,9,KR,4.0,E,2.0,1.0,MRE1
16.513123235996858,9,KR,4.0,E,3.0,1.0,MRE1
16.543350863275148,9,KR,4.0,E,4.0,1.0,MRE1
16.13395211736374,9,KR,4.0,E,5.0,1.0,MRE1
16.470647124565197,10,SC,5.0,M,1.0,2.0,MRE1
16.70333501966818,10,SC,5.0,M,2.0,2.0,MRE1
16.96963219553944,10,SC,5.0,M,3.0,2.0,MRE1
16.00864859134221,10,SC,5.0,M,4.0,2.0,MRE1
16.931684252651113,10,SC,5.0,M,5.0,2.0,MRE1
16.43134179336947,11,SC,1.0,A,1.0,3.0,MRE1-23
15.91971769191059,11,SC,1.0,A,2.0,3.0,MRE1-23
15.61396475374162,11,SC,1.0,A,3.0,3.0,MRE1-23
16.07936553077179,11,SC,1.0,A,4.0,3.0,MRE1-23
15.74538841700008,11,SC,1.0,A,5.0,3.0,MRE1-23
16.404923277440016,12,SC,2.0,E,1.0,4.0,MRE1-23
16.464934614368524,12,SC,2.0,E,2.0,4.0,MRE1-23
15.929257947359403,12,SC,2.0,E,3.0,4.0,MRE1-23
16.61003429857894,12,SC,2.0,E,4.0,4.0,MRE1-23
16.2751629837014,12,SC,2.0,E,5.0,4.0,MRE1-23
16.348985687746755,13,TM,3.0,M,1.0,1.0,MRE1-23
16.280562625462338,13,TM,3.0,M,2.0,1.0,MRE1-23
