ID,Data
1.0,50.11499028120822
2.0,49.94100569571241
3.0,50.001438563607365
4.0,49.958726473229554
5.0,50.030831532734325
6.0,50.1511955661112
7.0,49.98674245613359
8.0,49.91896426458742
9.0,50.008724026797935
10.0,49.85127325884201
11.0,50.05686531431389
12.0,50.1916810065791
13.0,49.91236021775785
14.0,50.046947959028216
15.0,49.98017172049227
16.0,49.817074057174516
17.0,49.85237680431507
18.0,49.82883764223229
19.0,50.06621370628096
20.0,49.93264212710143
21.0,50.02966608059872
22.0,49.81777916727475
23.0,49.99985029069975
24.0,49.93670192235784
25.0,49.85333006921802
